Operado,Operacion,Especie,Cantidad,Precio,Importe,mep,Precio_usd,Inversion_usd,Ticker,tipo,Posicion_Acum,Es_Cierre,ID_Trade,Estado_Trade,Posicion_Acum_Redondeada,Estado_Trade_Corregido,Precio_Actual_ARS,Precio_Actual_USD,Valor_Actual_USD_Fila
2024-01-16,Venta,SOCIEDAD COMERCIAL DEL PLATA ORD.1V,-2770.0,87.655,242805.39,1163.48,0.08,-221.6,COME,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,45.790000915527344,0.03194926138913861,0.0
2024-09-27,Compra,SOCIEDAD COMERCIAL DEL PLATA ORD.1V,770.0,264.233,-203459.66,1207.75,0.22,169.4,COME,Acción Arg,770.0,False,2,Cerrado,770.0,Cerrado,45.790000915527344,0.03194926138913861,24.600931269636728
2024-10-22,Venta,SOCIEDAD COMERCIAL DEL PLATA ORD.1V,-770.0,240.08,184861.59,1161.97,0.21,-161.7,COME,Acción Arg,0.0,True,2,Cerrado,0.0,Cerrado,45.790000915527344,0.03194926138913861,0.0
2025-05-06,Compra,SOCIEDAD COMERCIAL DEL PLATA ORD.1V,1450.0,137.883,-199929.86,1199.61,0.11,159.5,COME,Acción Arg,1450.0,False,3,Cerrado,1450.0,Cerrado,45.790000915527344,0.03194926138913861,46.326429014250984
2025-07-04,Venta,SOCIEDAD COMERCIAL DEL PLATA ORD.1V,-1450.0,119.915,173877.25,1246.92,0.1,-145.0,COME,Acción Arg,0.0,True,3,Cerrado,0.0,Cerrado,45.790000915527344,0.03194926138913861,0.0
2024-07-22,Compra,CONSULTATIO SA ORD 1 VOTO,50.0,2060.72,-103035.96,1333.37,1.55,77.5,CTIO,Acción Arg,50.0,False,1,Cerrado,50.0,Cerrado,1810.0,1.2628993657593792,63.144968287968965
2024-09-16,Venta,CONSULTATIO SA ORD 1 VOTO,-50.0,2393.32,119666.04,1217.53,1.97,-98.5,CTIO,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,1810.0,1.2628993657593792,0.0
2024-10-22,Compra,CONSULTATIO SA ORD 1 VOTO,119.0,2065.73,-245822.22,1161.97,1.78,211.82,CTIO,Acción Arg,119.0,False,2,Cerrado,119.0,Cerrado,1810.0,1.2628993657593792,150.28502452536614
2024-11-26,Venta,CONSULTATIO SA ORD 1 VOTO,-119.0,2587.78,307945.6,1076.12,2.4,-285.6,CTIO,Acción Arg,0.0,True,2,Cerrado,0.0,Cerrado,1810.0,1.2628993657593792,0.0
2024-12-16,Compra,CONSULTATIO SA ORD 1 VOTO,65.0,2381.61,-154804.62,1100.27,2.16,140.4,CTIO,Acción Arg,65.0,False,3,Cerrado,65.0,Cerrado,1810.0,1.2628993657593792,82.08845877435965
2025-01-17,Venta,CONSULTATIO SA ORD 1 VOTO,-65.0,2522.96,163992.33,1165.84,2.16,-140.4,CTIO,Acción Arg,0.0,True,3,Cerrado,0.0,Cerrado,1810.0,1.2628993657593792,0.0
2025-01-17,Compra,ACC.ORD.CABLEVISION HOLDING CL.B 1V $ ES,26.0,7300.26,-189806.76,1165.84,6.26,162.76,CVH,Acción Arg,26.0,False,1,Cerrado,26.0,Cerrado,6980.0,4.870186504420148,126.62484911492385
2025-03-12,Venta,ACC.ORD.CABLEVISION HOLDING CL.B 1V $ ES,-26.0,6920.69,179937.84,1229.34,5.63,-146.38,CVH,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,6980.0,4.870186504420148,0.0
2023-12-07,Compra,EDENOR S.A. B 1 VOTO,200.0,861.391,-172278.12,986.37,0.87,174.0,EDN,Acción Arg,200.0,False,1,Cerrado,200.0,Cerrado,2157.0,1.5050132220679453,301.00264441358905
2023-12-29,Venta,EDENOR S.A. B 1 VOTO,-100.0,936.387,93638.68,995.0,0.94,-94.0,EDN,Acción Arg,100.0,False,1,Cerrado,100.0,Cerrado,2157.0,1.5050132220679453,150.50132220679453
2024-09-05,Venta,EDENOR S.A. B 1 VOTO,-100.0,1331.29,133128.47,1258.82,1.06,-106.0,EDN,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,2157.0,1.5050132220679453,0.0
2023-07-19,Compra,"FERRUM S.A. ""B""",12187.5,8.639384615384614,-105292.22,490.24,0.01846153846153846,225.0,FERR,Acción Arg,12187.5,False,1,Cerrado,12187.5,Cerrado,21.799999237060547,0.015210610613281059,185.3793168493629
2023-08-29,Compra,"FERRUM S.A. ""B""",4875.0,10.840410256410257,-52846.66,671.02,0.01641025641025641,80.0,FERR,Acción Arg,17062.5,False,1,Cerrado,17062.5,Cerrado,21.799999237060547,0.015210610613281059,259.5310435891081
2024-01-25,Venta,"FERRUM S.A. ""B""",-17062.5,23.933128205128206,408360.36,1229.32,0.01846153846153846,-315.0,FERR,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,21.799999237060547,0.015210610613281059,0.0
2024-11-06,Compra,"FERRUM S.A. ""B""",4192.5,30.44348717948718,-127634.22,1145.69,0.02666666666666667,111.8,FERR,Acción Arg,4192.5,False,2,Abierto,4192.5,Cerrado,21.799999237060547,0.015210610613281059,63.77048499618084
2025-01-17,Venta,"FERRUM S.A. ""B""",-4192.8,41.085,172262.61,1165.84,0.04,-167.71,FERR,Acción Arg,-0.3000000000001819,True,2,Abierto,0.0,Cerrado,21.799999237060547,0.015210610613281059,0.0
2023-07-19,Compra,HAVANNA HOLDING ACC.ORD,34.0,1193.31,-40572.6,490.24,2.43,82.62,HAVA,Acción Arg,34.0,False,1,Cerrado,34.0,Cerrado,5130.0,3.5793777604119423,121.69884385400604
2023-07-21,Compra,HAVANNA HOLDING ACC.ORD,15.0,1197.32,-17959.85,494.69,2.42,36.3,HAVA,Acción Arg,49.0,False,1,Cerrado,49.0,Cerrado,5130.0,3.5793777604119423,175.38951026018518
2023-07-21,Venta,HAVANNA HOLDING ACC.ORD,-15.0,1191.67,17875.11,494.69,2.41,-36.15,HAVA,Acción Arg,34.0,False,1,Cerrado,34.0,Cerrado,5130.0,3.5793777604119423,121.69884385400604
2023-07-31,Compra,HAVANNA HOLDING ACC.ORD,20.0,1297.6,-25952.02,509.99,2.54,50.8,HAVA,Acción Arg,54.0,False,1,Cerrado,54.0,Cerrado,5130.0,3.5793777604119423,193.2863990622449
2023-07-31,Venta,HAVANNA HOLDING ACC.ORD,-20.0,1294.39,25887.75,509.99,2.54,-50.8,HAVA,Acción Arg,34.0,False,1,Cerrado,34.0,Cerrado,5130.0,3.5793777604119423,121.69884385400604
2023-11-09,Venta,HAVANNA HOLDING ACC.ORD,-34.0,3161.18,107480.05,863.3,3.66,-124.44,HAVA,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,5130.0,3.5793777604119423,0.0
2023-11-16,Compra,HAVANNA HOLDING ACC.ORD,26.0,2707.51,-70395.37,857.14,3.16,82.16,HAVA,Acción Arg,26.0,False,2,Cerrado,26.0,Cerrado,5130.0,3.5793777604119423,93.0638217707105
