Operado;Operación;Especie;Cantidad;Precio;Importe;mep;Precio_usd;Inversion_usd;Ticker;Empresa;Ratio;tipo
2024-09-26;CPU$;BONO PCIA BS AS REGS NEW U$S 2037;300.0;;-225.22;1210.95;;;;;;bonos
2024-09-26;DIV;CEDEAR UNITEDHEALTH GROUP INC;;;;1210.95;;;UNH;UnitedHealth Group Inc.;33.0;accion
2024-09-20;CPU$;BONO PCIA BS AS REGS NEW U$S 2037 B;400.0;;-269.98;1200.1;;;;;;bonos
2024-09-20;CPRA;Y.P.F. S.A.;3.0;29030.57;-87091.71;1200.1;24.19;72.57;;;;bonos
2024-09-20;VTAS;BONO DEL TESORO BONCER 2% $ 2026;-690.0;1880.99;12978.8;1200.1;1.57;-1083.3;;;;bonos
2024-09-20;CPRA;HAVANNA HOLDING ACC.ORD;12.0;5856.25;-70275.03;1200.1;4.88;58.56;;;;bonos
2024-09-20;CPRA;BOLSAS Y MERCADOS ARG. $ ORD. (BYMA);300.0;328.913;-98673.85;1200.1;0.27;81.0;;;;bonos
2024-09-20;COBR;;;;243321.15;1200.1;;;;;;bonos
2024-09-19;CPU$;BONO PCIA BS AS REGS NEW U$S 2037 B;330.0;;-222.95;1197.74;;;;;;bonos
2024-09-19;DIV;CEDEAR MC DONALDS CORP;;;;1197.74;;;MCD;Mcdonald'S Corp.;24.0;accion
2024-09-18;CPU$;BONO REP. ARGENTINA USD STEP UP 2030;255.0;;-233.1;1206.72;;;;;;bonos
2024-09-18;CPRA;BONO PCIA BS AS REGS NEW U$S 2037;10.0;58643.7;-5864.37;1206.72;48.6;486.0;;;;bonos
2024-09-18;CPRA;CEDEAR ADOBE SYSTEMS INCORPORATED;12.0;14339.8;-172077.56;1206.72;11.88;142.56;ADBE;Adobe Systems Incorporated;44.0;accion
2024-09-18;VTAS;BONO REP. ARGENTINA USD STEP UP 2030;-255.0;70017.71;178545.17;1206.72;58.02;-14795.1;;;;bonos
2024-09-18;DIV;CEDEAR GOOGLE INC.;;;;1206.72;;;GOOGL;Alphabet Inc.;58.0;accion
2024-09-18;VTAS;BONO DEL TESORO BONCER 2% $ 2026;-50.0;1882.0;941.0;1206.72;1.56;-78.0;;;;bonos
2024-09-16;CPRA;TRANSENER S.A. ESCRIT. B 1 VOTO;65.0;1865.18;-121236.46;1217.53;1.53;99.45;;;;bonos
2024-09-16;VTAS;CONSULTATIO SA ORD 1 VOTO;-50.0;2393.32;119666.04;1217.53;1.97;-98.5;;;;bonos
2024-09-16;CPRA;TERNIUM ARG S.A.ORDS. A 1 VOTO ESC;125.0;862.393;-107799.17;1217.53;0.71;88.75;;;;bonos
2024-09-16;VTAS;METRO GAS;-88.0;1226.58;107938.77;1217.53;1.01;-88.88;;;;bonos
2024-09-16;DIV;CEDEAR VALE S.A.;;;;1217.53;;;VALE;Vale S.A.;2.0;accion
2024-09-16;DIV;CEDEAR MICROSOFT CORP.;;;;1217.53;;;MSFT;Microsoft Corp.;30.0;accion
2024-09-13;CPRA;BONO REP. ARGENTINA USD STEP UP 2038;225.0;61277.89;-137875.25;1226.53;49.96;11241.0;;;;bonos
2024-09-13;COTR;BONO REP. ARGENTINA USD STEP UP 2038;220.0;61232.01;-134710.41;1226.53;49.92;10982.4;;;;bonos
2024-09-13;VTAS;BONO REP. ARGENTINA USD STEP UP 2030;-200.0;69179.14;138358.27;1226.53;56.4;-11280.0;;;;bonos
2024-09-13;CPU$;BONO REP. ARGENTINA USD STEP UP 2030;200.0;;-176.73;1226.53;;;;;;bonos
2024-09-13;VTU$;BONO REP. ARGENTINA USD STEP UP 2038;-225.0;;-175.73;1226.53;;;;;;bonos
2024-09-13;VTTR;BONO REP. ARGENTINA USD STEP UP 2038;-220.0;61287.86;134833.3;1226.53;49.97;-10993.4;;;;bonos
2024-09-12;CPRA;CEDEAR HERSHEY;3.0;11908.05;-35724.15;1239.48;9.61;28.83;HSY;The Hershey Company;21.0;accion
2024-09-12;CPRA;CEDEAR MICROSOFT CORP.;6.0;17799.4;-106796.39;1239.48;14.36;86.16;MSFT;Microsoft Corp.;30.0;accion
2024-09-12;CPRA;Y.P.F. S.A.;6.0;29331.4;-175988.42;1239.48;23.66;141.96;;;;bonos
2024-09-12;CPRA;CEDEAR GOOGLE INC.;35.0;3349.01;-117215.31;1239.48;2.7;94.5;GOOGL;Alphabet Inc.;58.0;accion
2024-09-12;VTAS;CEDEAR MC DONALDS CORP;-7.0;15132.77;105929.37;1239.48;12.21;-85.47;MCD;Mcdonald'S Corp.;24.0;accion
2024-09-12;VTAS;CEDEAR PEPSICO INC;-27.0;12166.05;328483.28;1239.48;9.82;-265.14;PEP;Pepsico Inc;18.0;accion
2024-09-12;PAGO;;;;-70000.0;1239.48;;;;;;bonos
