fecha;Operacion;Ticker;Precio_USA;Cantidad_USA;Inversion_USA;Broker;tipo;Posicion_Acum;Es_Cierre;ID_Trade;Precio_Unitario;PPP_Actual;Estado_Trade
2025-11-11;Venta;VALE;12.42;-4.5;55.89;Veta;accion;36.314;0;1;12.42;9.831432253638459;Cerrado
2026-03-03;Venta;VALE;15.8;-23.814;376.26120000000003;Quantfury;accion;12.5;0;1;15.8;9.831432253638459;Cerrado
2026-03-03;Venta;VALE;16.2;-12.5;202.5;Veta;accion;0.0;1;1;16.2;0.0;Cerrado
2024-09-16;Compra;VMI;279.42;0.0716;-20.006472;Quantfury;accion;0.0716;0;1;279.42;279.42;Cerrado
2025-10-14;Venta;VMI;396.03;-0.0716;28.355748;Quantfury;accion;0.0;1;1;396.03;0.0;Cerrado
2024-07-23;Compra;VRT;90.92;0.22;-20.0024;Quantfury;accion;0.22;0;1;90.92;90.92;Cerrado
2024-07-24;Venta;VRT;78.3;-0.22;17.226;Quantfury;accion;0.0;1;1;78.3;0.0;Cerrado
2024-09-20;Venta;VST;107.59;-0.2561;27.553799;Quantfury;accion;-0.2561;0;1;107.59;0.0;Cerrado
2024-12-08;Compra;VST;78.08;0.2561;-19.996288;Quantfury;accion;0.0;1;1;78.08;78.08;Cerrado
2024-05-08;Venta;WAB;149.94;-0.1246;18.682524;Quantfury;accion;-0.1246;0;1;149.94;0.0;Cerrado
2024-10-07;Compra;WAB;160.46;0.1246;-19.993316;Quantfury;accion;0.0;1;1;160.46;160.46;Cerrado
2023-01-23;Compra;WBA;38.19;3.333333;-127.29999999999998;Veta;accion;3.333333;0;1;38.19;38.19;Cerrado
2023-02-07;Compra;WBA;38.16;3.333333;-127.19999999999997;Veta;accion;6.666666;0;1;38.16;38.175;Cerrado
2023-03-07;Venta;WBA;34.8;-6.666667;232.0;Veta;accion;-1e-06;1;1;34.8;0.0;Cerrado
2024-06-11;Venta;WFC;73.22;-0.3561;26.073642000000003;Quantfury;accion;-0.3561;0;1;73.22;0.0;Cerrado
2024-09-20;Compra;WFC;56.17;0.3561;-20.002137;Quantfury;accion;0.0;1;1;56.17;56.17;Cerrado
2022-12-27;Compra;XOM;111.45;0.6;-66.87;Veta;accion;0.6;0;1;111.45000000000002;222.90000000000003;Cerrado
2023-01-06;Venta;XOM;113.45;-0.6;68.07;Veta;accion;0.0;1;1;113.44999999999999;0.0;Cerrado
2023-06-07;Compra;XOM;113.6;2.0;-227.2;Veta;accion;2.0;0;2;113.6;227.2;Cerrado
2023-08-07;Compra;XOM;124.35;0.8;-99.48;Veta;accion;2.8;0;2;124.35;233.34285714285716;Cerrado
2023-09-28;Venta;XOM;138.8;-2.8;388.64;Veta;accion;0.0;1;2;138.8;0.0;Cerrado
2024-06-12;Compra;XP;18.44;8.5;-156.74;Veta;accion;8.5;0;1;18.44;18.44;Cerrado
2024-06-14;Venta;XP;17.32;-8.5;147.22;Veta;accion;0.0;1;1;17.32;0.0;Cerrado
2024-11-26;Compra;XP;16.72;16.25;-271.7;Veta;accion;16.25;0;2;16.72;16.72;Cerrado
2024-11-27;Venta;XP;15.24;-16.25;247.65;Veta;accion;0.0;1;2;15.24;0.0;Cerrado
2025-01-22;Compra;XP;12.32;16.25;-200.20000000000002;Veta;accion;16.25;0;3;12.32;12.32;Cerrado
2025-11-11;Venta;XP;20.04;-8.0;160.32;Veta;accion;8.25;0;3;20.04;12.32;Cerrado
2026-01-29;Venta;XP;20.64;-3.25;67.08;Veta;accion;5.0;0;3;20.64;12.32;Cerrado
2026-03-03;Venta;XP;20.68;-5.0;103.4;Veta;accion;0.0;1;3;20.68;0.0;Cerrado
2024-06-11;Venta;YPF;28.35;-0.9359;26.532765;Quantfury;accion;-0.9359;0;1;28.35;0.0;Cerrado
2024-07-11;Venta;YPF;28.84;-0.0004;0.011536000000000001;Quantfury;accion;-0.9363;0;1;28.84;0.0;Cerrado
2024-12-08;Compra;YPF;21.37;0.9363;-20.008731;Quantfury;accion;0.0;1;1;21.37;21.37;Cerrado
2022-11-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2022-11-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2022-11-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2022-11-14;Compra;;;;;Veta;bonos;;0;;;;Abierto
2022-12-06;Compra;;;;;Veta;bonos;;0;;;;Abierto
2022-12-06;Compra;;;;;Veta;bonos;;0;;;;Abierto
2022-12-06;Compra;;;;;Veta;bonos;;0;;;;Abierto
2022-12-06;Compra;;;;;Veta;bonos;;0;;;;Abierto
2022-12-06;Compra;;;;;Veta;bonos;;0;;;;Abierto
2022-12-20;Compra;;;;;Veta;bonos;;0;;;;Abierto
2022-12-22;Compra;;;;;Veta;bonos;;0;;;;Abierto
2022-12-30;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-01-06;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-01-06;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-01-12;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-01-12;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-01-17;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-01-18;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-01-30;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-01-31;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-01-31;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-02-01;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-02-03;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-02-03;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-02-03;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-02-03;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-02-03;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-02-03;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-02-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-01;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-07;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-03-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-08;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-16;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-03-16;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-03-16;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-03-30;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-04-11;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-05-09;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-05-09;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-05-09;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-05-11;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-05-11;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-05-11;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-05-11;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-05-11;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-05-23;Compra;;;;;Veta;bonos;;0;;;;Abierto
2023-05-23;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-02;Venta;;;;;Veta;bonos;;0;;;;Abierto
2023-06-06;Venta;;;;;Veta;bonos;;0;;;;Abierto
